DateTime,City,State,Country,location,geocode,lat,long
2021-04-28 13:48:00,Council Bluffs,IA,USA,"Council Bluffs,IA,USA","(41.2619444, -95.8608333)",41.2619444,-95.8608333
2021-04-28 00:25:00,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA","(37.9322662, -87.8950267)",37.9322662,-87.8950267
2021-04-27 20:15:00,Everett,WA,USA,"Everett,WA,USA","(47.9789848, -122.2020794)",47.9789848,-122.2020794
2021-04-27 18:42:00,Armadale (Australia),,Australia,"Armadale (Australia),Australia","(-32.1384821, 116.1832068)",-32.1384821,116.1832068
2021-04-27 17:26:00,Palmdale,CA,USA,"Palmdale,CA,USA","(34.5794343, -118.1164613)",34.5794343,-118.1164613
2021-04-27 15:31:00,South Portland,ME,USA,"South Portland,ME,USA","(43.6414716, -70.2408811)",43.6414716,-70.2408811
2021-04-27 13:06:00,Hanover,MD,USA,"Hanover,MD,USA","(39.19550419999999, -76.7228227)",39.19550419999999,-76.7228227
2021-04-27 11:19:00,St. Louis,MO,USA,"St. Louis,MO,USA","(38.6270025, -90.19940419999999)",38.6270025,-90.19940419999999
2021-04-27 10:22:00,Gulf Shores,AL,USA,"Gulf Shores,AL,USA","(30.2460361, -87.70081929999999)",30.2460361,-87.70081929999999
2021-04-27 09:20:00,Douglas,WY,USA,"Douglas,WY,USA","(42.7596897, -105.3822069)",42.7596897,-105.3822069
2021-04-27 07:00:00,Tallahassee,FL,USA,"Tallahassee,FL,USA","(30.4382559, -84.28073289999999)",30.4382559,-84.28073289999999
2021-04-27 04:40:00,Bladenboro,NC,USA,"Bladenboro,NC,USA","(34.5387799, -78.78752089999999)",34.5387799,-78.78752089999999
2021-04-27 04:00:00,Okemos,MI,USA,"Okemos,MI,USA","(42.722257, -84.4274744)",42.722257,-84.4274744
2021-04-26 23:00:00,Reading,PA,USA,"Reading,PA,USA","(40.3356483, -75.9268747)",40.3356483,-75.9268747
2021-04-26 22:00:00,Res Moines,IA,USA,"Res Moines,IA,USA","(41.5868353, -93.6249593)",41.5868353,-93.6249593
2021-04-26 21:25:00,Cleveland,TX,USA,"Cleveland,TX,USA","(30.34132, -95.0854885)",30.34132,-95.0854885
2021-04-26 21:00:00,Cedarville,OH,USA,"Cedarville,OH,USA","(39.74422680000001, -83.80853719999999)",39.74422680000001,-83.80853719999999
2021-04-26 19:29:00,Houston,TX,USA,"Houston,TX,USA","(29.7604267, -95.3698028)",29.7604267,-95.3698028
2021-04-26 17:44:00,Edmonds,WA,USA,"Edmonds,WA,USA","(47.8106521, -122.3773552)",47.8106521,-122.3773552
2021-04-26 14:00:00,Tallahassee,CA,USA,"Tallahassee,CA,USA","(30.4382559, -84.28073289999999)",30.4382559,-84.28073289999999
2021-04-26 06:21:00,Fort Myers,FL,USA,"Fort Myers,FL,USA","(26.640628, -81.8723084)",26.640628,-81.8723084
2021-04-26 03:00:00,Lubbock,TX,USA,"Lubbock,TX,USA","(33.5778631, -101.8551665)",33.5778631,-101.8551665
2021-04-26 01:25:00,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA","(37.9322662, -87.8950267)",37.9322662,-87.8950267
2021-04-26 00:30:00,Calgary (Canada),AB,Canada,"Calgary (Canada),AB,Canada","(51.04473309999999, -114.0718831)",51.04473309999999,-114.0718831
2021-04-26 00:30:00,New Britain,CT,USA,"New Britain,CT,USA","(41.6612104, -72.7795419)",41.6612104,-72.7795419
2021-04-26 00:00:00,easley,SC,USA,"easley,SC,USA","(34.829838, -82.6015206)",34.829838,-82.6015206
2021-04-25 22:00:00,North Charleston (Folly Beach),SC,USA,"North Charleston (Folly Beach),SC,USA","(32.6551798, -79.94036729999999)",32.6551798,-79.94036729999999
2021-04-25 19:05:00,Show Low,AZ,USA,"Show Low,AZ,USA","(34.2542084, -110.0298327)",34.2542084,-110.0298327
2021-04-25 17:00:00,Hot Springs,AR,USA,"Hot Springs,AR,USA","(34.5077615, -93.05460029999999)",34.5077615,-93.05460029999999
2021-04-25 12:54:00,Swayze,IN,USA,"Swayze,IN,USA","(40.5083719, -85.82553779999999)",40.5083719,-85.82553779999999
2021-04-25 10:15:00,Gainesville,GA,USA,"Gainesville,GA,USA","(34.2978794, -83.8240663)",34.2978794,-83.8240663
2021-04-25 05:38:00,Santa Claus,IN,USA,"Santa Claus,IN,USA","(38.1200538, -86.9141607)",38.1200538,-86.9141607
2021-04-24 22:00:00,Phoenix,AZ,USA,"Phoenix,AZ,USA","(33.4483771, -112.0740373)",33.4483771,-112.0740373
2021-04-24 08:15:00,Enfield,NH,USA,"Enfield,NH,USA","(43.64064399999999, -72.14398299999999)",43.64064399999999,-72.14398299999999
2021-04-23 23:36:00,Watauga,TX,USA,"Watauga,TX,USA","(32.8579056, -97.25473710000001)",32.8579056,-97.25473710000001
2021-04-23 21:00:00,Candler,NC,USA,"Candler,NC,USA","(35.5360973, -82.69273629999999)",35.5360973,-82.69273629999999
2021-04-23 20:55:00,Branford,CT,USA,"Branford,CT,USA","(41.2799027, -72.81411849999999)",41.2799027,-72.81411849999999
2021-04-23 20:30:00,Gresham,OR,USA,"Gresham,OR,USA","(45.5044715, -122.4356657)",45.5044715,-122.4356657
2021-04-23 06:30:00,Blackshear,GA,USA,"Blackshear,GA,USA","(31.3060513, -82.2420661)",31.3060513,-82.2420661
2021-04-23 06:00:00,Mechanicsville,VA,USA,"Mechanicsville,VA,USA","(37.6087561, -77.3733139)",37.6087561,-77.3733139
2021-04-23 06:00:00,Vero Beach,FL,USA,"Vero Beach,FL,USA","(27.6386434, -80.39727359999999)",27.6386434,-80.39727359999999
2021-04-23 05:59:00,St. Augustine,FL,USA,"St. Augustine,FL,USA","(29.9012437, -81.31243409999999)",29.9012437,-81.31243409999999
2021-04-23 05:58:00,Durham,NC,USA,"Durham,NC,USA","(35.9940329, -78.898619)",35.9940329,-78.898619
2021-04-23 05:56:00,Post falls,ID,USA,"Post falls,ID,USA","(47.7179578, -116.9515856)",47.7179578,-116.9515856
2021-04-23 05:55:00,I-16 south,GA,USA,"I-16 south,GA,USA","(32.4163959, -82.3838956)",32.4163959,-82.3838956
2021-04-23 05:54:00,Parrish,FL,USA,"Parrish,FL,USA","(27.5877496, -82.4254998)",27.5877496,-82.4254998
2021-04-23 05:45:00,Champions Gate,FL,USA,"Champions Gate,FL,USA","(28.2618525, -81.61789329999999)",28.2618525,-81.61789329999999
2021-04-23 05:45:00,Belleview,FL,USA,"Belleview,FL,USA","(29.0552578, -82.0623105)",29.0552578,-82.0623105
2021-04-23 05:40:00,Athens,GA,USA,"Athens,GA,USA","(33.9519347, -83.357567)",33.9519347,-83.357567
