DateTime,City,State,Country,location
2021-09-10 00:30:00,Brunswick,GA,USA,"Brunswick,GA,USA"
2021-09-09 21:17:00,Marietta,GA,USA,"Marietta,GA,USA"
2021-09-09 20:00:00,Seguin,TX,USA,"Seguin,TX,USA"
2021-09-09 00:45:00,North Lima,OH,USA,"North Lima,OH,USA"
2021-09-09 00:01:00,Unkone,WA,USA,"Unkone,WA,USA"
2021-09-08 23:00:00,Montreal (Canada),QC,Canada,"Montreal (Canada),QC,Canada"
2021-09-08 22:20:00,Federal Way,WA,USA,"Federal Way,WA,USA"
2021-09-08 20:48:00,York,PA,USA,"York,PA,USA"
2021-09-08 19:13:00,Leonardo,NJ,USA,"Leonardo,NJ,USA"
2021-09-08 17:30:00,Duluth,MN,USA,"Duluth,MN,USA"
2021-09-08 16:30:00,Duluth,MN,USA,"Duluth,MN,USA"
2021-09-08 10:01:00,Oxford,CT,USA,"Oxford,CT,USA"
2021-09-08 09:18:00,Pine City,NY,USA,"Pine City,NY,USA"
2021-09-08 07:04:00,Swayzee,KS,USA,"Swayzee,KS,USA"
2021-09-08 06:47:00,Goshen,KY,USA,"Goshen,KY,USA"
2021-09-08 06:47:00,Goshen,KY,USA,"Goshen,KY,USA"
2021-09-08 01:00:00,Rochester,NY,USA,"Rochester,NY,USA"
2021-09-07 22:41:00,San Marcos,CA,USA,"San Marcos,CA,USA"
2021-09-07 21:30:00,Ocean Isle Beach,NC,USA,"Ocean Isle Beach,NC,USA"
2021-09-07 21:26:00,Grand Junction,CO,USA,"Grand Junction,CO,USA"
2021-09-07 20:54:00,Payson,IL,USA,"Payson,IL,USA"
2021-09-07 19:45:00,Papillion,NE,USA,"Papillion,NE,USA"
2021-09-07 17:10:00,Randolph,MA,USA,"Randolph,MA,USA"
2021-09-07 16:00:00,Homestead,FL,USA,"Homestead,FL,USA"
2021-09-07 15:00:00,Liverpool (UK/England),,United Kingdom,"Liverpool (UK/England),United Kingdom"
2021-09-07 12:37:00,Lacey,WA,USA,"Lacey,WA,USA"
2021-09-07 06:44:00,Shoreline,WA,USA,"Shoreline,WA,USA"
2021-09-07 03:17:00,Goshen,KY,USA,"Goshen,KY,USA"
2021-09-06 20:45:00,Cleveland,GA,USA,"Cleveland,GA,USA"
2021-09-06 20:00:00,Bristol,CT,USA,"Bristol,CT,USA"
2021-09-06 19:56:00,Lancaster,CA,USA,"Lancaster,CA,USA"
2021-09-06 12:35:00,Jacksonville,FL,USA,"Jacksonville,FL,USA"
2021-09-06 11:50:00,Ogilvie,MN,USA,"Ogilvie,MN,USA"
2021-09-06 10:26:00,Indianapolis,IN,USA,"Indianapolis,IN,USA"
2021-09-06 06:25:00,Indianapolis,IN,USA,"Indianapolis,IN,USA"
2021-09-05 23:00:00,Lake Elsinore,CA,USA,"Lake Elsinore,CA,USA"
2021-09-05 23:00:00,Fairbanks,AK,USA,"Fairbanks,AK,USA"
2021-09-05 22:00:00,Sinking Spring,PA,USA,"Sinking Spring,PA,USA"
2021-09-05 21:22:00,Toronto,ON,Canada,"Toronto,ON,Canada"
2021-09-05 21:00:00,Tralee,County Kerry,Ireland,"Tralee,County Kerry,Ireland"
2021-09-05 20:47:00,Chester,PA,USA,"Chester,PA,USA"
2021-09-05 19:12:00,Morrison,CO,USA,"Morrison,CO,USA"
2021-09-05 11:31:00,Norris City,IL,USA,"Norris City,IL,USA"
