,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
181,1/19/20 15:30,Boise,ID,USA,Other,10 seconds,"strange black dot below the moon, enlarged it appears to be a ship of some kind.",3/2/21,
182,1/19/20 13:05,Evansville,IN,USA,,,MADAR Node 153,2/7/20,
183,1/19/20 08:36,Pueblo,CO,USA,,,MADAR Node 83,1/31/20,
184,1/19/20 05:06,Newburgh,IN,USA,,,MADAR Node 142,2/7/20,
185,1/19/20 01:26,Santa Claus,IN,USA,,,MADAR Node 114,2/7/20,
186,1/18/20 21:00,La Mesa,CA,USA,Fireball,5 minutes,Orange fireball dropping a flare,2/7/20,
187,1/18/20 19:51,Mt. Vernon,IN,USA,,,MADAR Node 119,2/7/20,
188,1/18/20 19:30,Wilmington,NC,USA,Circle,3 minutes,One white light that dimmed and disappeared.,1/31/20,
189,1/18/20 19:05,Alamo,TX,USA,Light,7 minutes,My uncle had seen it moving across the sky tapped my shoulder then asked me if it was a satellite. I witnessed what I can only desc,2/7/20,
190,1/18/20 18:50,Red Lodge,MT,USA,Light,10 minutes,We saw 30 dots of light traveling one after the other from the south west to the north east. Possibly satellites traveling in a line.,1/31/20,
191,1/18/20 17:00,Decaturville,TN,USA,Light,2 hours,I have been seeing the same bright yellow to orange color changing light circular shaped flying object that sometimes doesn't appear.,1/31/20,
192,1/18/20 12:35,Hartford,CT,USA,Light,All day,"Not so normal man whos clothes seem to work with his body, light that emits theme like features, I know it sounds crazy. but , no lie",1/19/21,
193,1/18/20 04:00,Baldwin Hills Estates,CA,USA,Sphere,2 hours,Cloned Stars,2/7/20,
194,1/18/20 01:06,Harrisonburg,VA,USA,Triangle,30 seconds,Triangular light pattern rising slowly over northeast of Harrisonburg into the clouds. Followed seconds later by a single light.,2/7/20,
195,1/17/20 21:31,Delhi,NY,USA,Triangle,5-6 minutes,On 1/17/2020 FRIDAY EVENING AT 9:31 I WENT TO LET DOG OUT NOTICED IN N-E SKY TRIANGLE SHAPE OBJECT WITH ONE BRIGHT WHITE LIGHT ON EACH,2/7/20,
196,1/17/20 20:30,Fairplain,WV,USA,Circle,30,We saw the craft coming over the hill till it got so close I could see it and it was a space ship with lots of lights coming off it,2/7/20,
